r, g, b, T, t 
1.938934000000000000e+07, 3.791704400000000000e+07, 1.888714600000000000e+07, 3.019619999999999891e+02, 1.631735449465795040e+09
1.949496100000000000e+07, 3.814267600000000000e+07, 1.898010600000000000e+07, 3.019619999999999891e+02, 1.631735468665677071e+09
1.957732900000000000e+07, 3.678405300000000000e+07, 1.930533100000000000e+07, 3.020249999999999773e+02, 1.631735487867896080e+09
1.961944300000000000e+07, 3.843351800000000000e+07, 1.910771600000000000e+07, 3.020869999999999891e+02, 1.631735507225770950e+09
1.965714700000000000e+07, 3.697157500000000000e+07, 1.940303800000000000e+07, 3.021499999999999773e+02, 1.631735526265909910e+09
1.965634000000000000e+07, 3.701829300000000000e+07, 1.945818400000000000e+07, 3.022119999999999891e+02, 1.631735545465484142e+09
1.972335100000000000e+07, 3.711097900000000000e+07, 1.949061200000000000e+07, 3.022749999999999773e+02, 1.631735564665919065e+09
1.971815300000000000e+07, 3.740956600000000000e+07, 1.801170500000000000e+07, 3.023369999999999891e+02, 1.631735583945827007e+09
1.972801000000000000e+07, 3.720082500000000000e+07, 1.952492200000000000e+07, 3.023369999999999891e+02, 1.631735603065688133e+09
1.974685800000000000e+07, 3.718562400000000000e+07, 1.952085900000000000e+07, 3.023999999999999773e+02, 1.631735622425704956e+09
1.976728100000000000e+07, 3.874477000000000000e+07, 1.927448900000000000e+07, 3.023999999999999773e+02, 1.631735641545720100e+09
2.001647900000000000e+07, 3.571474200000000000e+07, 1.955628000000000000e+07, 3.024619999999999891e+02, 1.631735660745776892e+09
2.006975500000000000e+07, 3.574904400000000000e+07, 1.958248100000000000e+07, 3.024619999999999891e+02, 1.631735680042540073e+09
2.006725400000000000e+07, 3.580870800000000000e+07, 1.959940900000000000e+07, 3.024619999999999891e+02, 1.631735699225718975e+09
1.980790400000000000e+07, 3.758419800000000000e+07, 1.808110700000000000e+07, 3.025249999999999773e+02, 1.631735718505808830e+09
1.979667600000000000e+07, 3.732317800000000000e+07, 1.959150700000000000e+07, 3.025869999999999891e+02, 1.631735737625763178e+09
2.009804000000000000e+07, 3.613056200000000000e+07, 1.811381600000000000e+07, 3.025869999999999891e+02, 1.631735756985189199e+09
2.010991500000000000e+07, 3.583486300000000000e+07, 1.962143300000000000e+07, 3.026499999999999773e+02, 1.631735776105724812e+09
1.984847300000000000e+07, 3.765089600000000000e+07, 1.811390800000000000e+07, 3.026499999999999773e+02, 1.631735795505454063e+09
1.982659800000000000e+07, 3.738427100000000000e+07, 1.963191800000000000e+07, 3.026499999999999773e+02, 1.631735814585709095e+09
1.981894800000000000e+07, 3.737477600000000000e+07, 1.963307700000000000e+07, 3.026499999999999773e+02, 1.631735833866755009e+09
1.982806100000000000e+07, 3.742194600000000000e+07, 1.964466800000000000e+07, 3.027119999999999891e+02, 1.631735852905813932e+09
2.012077500000000000e+07, 3.618088400000000000e+07, 1.812604300000000000e+07, 3.027119999999999891e+02, 1.631735872185760021e+09
1.987509000000000000e+07, 3.769960000000000000e+07, 1.812562400000000000e+07, 3.027749999999999773e+02, 1.631735891385819912e+09
2.010351800000000000e+07, 3.592618500000000000e+07, 1.965049000000000000e+07, 3.027749999999999773e+02, 1.631735910665776014e+09
