r, g, b, T, t 

1.880564400000000000e+07, 3.707636700000000000e+07, 1.857480400000000000e+07, 2.953369999999999891e+02, 1.631734008625935793e+09

1.883343400000000000e+07, 3.713067900000000000e+07, 1.858039200000000000e+07, 2.957119999999999891e+02, 1.631734027865930080e+09

1.885693400000000000e+07, 3.720048400000000000e+07, 1.860141300000000000e+07, 2.960869999999999891e+02, 1.631734047065713882e+09

1.889296900000000000e+07, 3.725539300000000000e+07, 1.863525600000000000e+07, 2.963999999999999773e+02, 1.631734066265861988e+09

1.891642600000000000e+07, 3.731422800000000000e+07, 1.868674900000000000e+07, 2.967749999999999773e+02, 1.631734085465963125e+09

1.894232100000000000e+07, 3.734642300000000000e+07, 1.868420200000000000e+07, 2.970869999999999891e+02, 1.631734104666361094e+09

1.897908000000000000e+07, 3.746044800000000000e+07, 1.877697800000000000e+07, 2.974619999999999891e+02, 1.631734123865719080e+09

1.899140300000000000e+07, 3.751364200000000000e+07, 1.877148500000000000e+07, 2.977119999999999891e+02, 1.631734143105767965e+09

1.905127800000000000e+07, 3.755694200000000000e+07, 1.879803300000000000e+07, 2.979619999999999891e+02, 1.631734162425826073e+09

1.902763200000000000e+07, 3.760304700000000000e+07, 1.884974600000000000e+07, 2.982749999999999773e+02, 1.631734181546200037e+09

1.907240800000000000e+07, 3.766645300000000000e+07, 1.885175300000000000e+07, 2.985249999999999773e+02, 1.631734200985702991e+09

1.906428100000000000e+07, 3.769291600000000000e+07, 1.886265300000000000e+07, 2.987749999999999773e+02, 1.631734220027737141e+09

1.908695700000000000e+07, 3.771658500000000000e+07, 1.885566600000000000e+07, 2.988999999999999773e+02, 1.631734239305794001e+09

1.910635100000000000e+07, 3.769522700000000000e+07, 1.886006400000000000e+07, 2.991499999999999773e+02, 1.631734258425204039e+09

1.913152400000000000e+07, 3.778397500000000000e+07, 1.890628000000000000e+07, 2.993369999999999891e+02, 1.631734277705254793e+09

1.912938400000000000e+07, 3.782710100000000000e+07, 1.892270400000000000e+07, 2.995249999999999773e+02, 1.631734296825680971e+09

1.913746500000000000e+07, 3.784479400000000000e+07, 1.893080000000000000e+07, 2.997119999999999891e+02, 1.631734316025686026e+09

1.917462800000000000e+07, 3.787831200000000000e+07, 1.896439500000000000e+07, 2.998369999999999891e+02, 1.631734335305728912e+09

1.916521400000000000e+07, 3.785991500000000000e+07, 1.896191800000000000e+07, 3.000249999999999773e+02, 1.631734354505786180e+09

1.921759100000000000e+07, 3.794047900000000000e+07, 1.897538600000000000e+07, 3.001499999999999773e+02, 1.631734373705868959e+09

1.918953900000000000e+07, 3.793558800000000000e+07, 1.899853300000000000e+07, 3.002749999999999773e+02, 1.631734392905780077e+09

1.923517000000000000e+07, 3.800036200000000000e+07, 1.902267600000000000e+07, 3.004619999999999891e+02, 1.631734412265242815e+09

1.921452500000000000e+07, 3.802951900000000000e+07, 1.901595000000000000e+07, 3.005869999999999891e+02, 1.631734431385281086e+09

1.920313800000000000e+07, 3.802826100000000000e+07, 1.899240500000000000e+07, 3.007119999999999891e+02, 1.631734450505803108e+09

1.928059600000000000e+07, 3.808577900000000000e+07, 1.903791300000000000e+07, 3.008369999999999891e+02, 1.631734469865396976e+09
