r, g, b, T, t 
1.956634700000000000e+07, 3.853061000000000000e+07, 1.921843700000000000e+07, 2.998369999999999891e+02, 1.631734642585869074e+09
1.966892900000000000e+07, 3.715301800000000000e+07, 1.968858400000000000e+07, 3.000249999999999773e+02, 1.631734661785706043e+09
1.971514700000000000e+07, 3.884396900000000000e+07, 1.940084800000000000e+07, 3.002119999999999891e+02, 1.631734680985701084e+09
1.824392700000000000e+07, 3.773703400000000000e+07, 1.980202100000000000e+07, 3.003999999999999773e+02, 1.631734700185701132e+09
2.021568600000000000e+07, 3.595138000000000000e+07, 1.986325800000000000e+07, 3.005249999999999773e+02, 1.631734719465734959e+09
2.019371300000000000e+07, 3.603746900000000000e+07, 1.987165300000000000e+07, 3.007119999999999891e+02, 1.631734738666188955e+09
1.870764000000000000e+07, 3.671508700000000000e+07, 1.830085800000000000e+07, 3.008369999999999891e+02, 1.631734757785669804e+09
1.843249100000000000e+07, 3.839404200000000000e+07, 1.836572600000000000e+07, 3.009619999999999891e+02, 1.631734776905697107e+09
1.875067900000000000e+07, 3.683609200000000000e+07, 1.835527200000000000e+07, 3.010869999999999891e+02, 1.631734796105873823e+09
1.879467400000000000e+07, 3.691837700000000000e+07, 1.841100700000000000e+07, 3.012119999999999891e+02, 1.631734815305469990e+09
1.878967000000000000e+07, 3.690754600000000000e+07, 1.840135800000000000e+07, 3.013369999999999891e+02, 1.631734834665745974e+09
1.851241500000000000e+07, 3.852877000000000000e+07, 1.843016100000000000e+07, 3.013999999999999773e+02, 1.631734853785714865e+09
1.885172400000000000e+07, 3.700146400000000000e+07, 1.844347400000000000e+07, 3.015249999999999773e+02, 1.631734873065581083e+09
1.884064000000000000e+07, 3.703539100000000000e+07, 1.845894100000000000e+07, 3.015869999999999891e+02, 1.631734892345788002e+09
1.890178900000000000e+07, 3.706377400000000000e+07, 1.848256300000000000e+07, 3.017119999999999891e+02, 1.631734911545702934e+09
1.890327400000000000e+07, 3.707675700000000000e+07, 1.847760800000000000e+07, 3.017749999999999773e+02, 1.631734930786134005e+09
1.888523900000000000e+07, 3.711550500000000000e+07, 1.850370000000000000e+07, 3.018999999999999773e+02, 1.631734949945315123e+09
1.889672200000000000e+07, 3.717165200000000000e+07, 1.850613600000000000e+07, 3.018999999999999773e+02, 1.631734969065677166e+09
1.892239000000000000e+07, 3.715220600000000000e+07, 1.853485400000000000e+07, 3.019619999999999891e+02, 1.631734988425197124e+09
1.896479800000000000e+07, 3.719290000000000000e+07, 1.854419000000000000e+07, 3.020249999999999773e+02, 1.631735007548953056e+09
1.891855800000000000e+07, 3.718611000000000000e+07, 1.853071600000000000e+07, 3.020869999999999891e+02, 1.631735026825814009e+09
1.893167300000000000e+07, 3.716396800000000000e+07, 1.851416700000000000e+07, 3.021499999999999773e+02, 1.631735046025768995e+09
1.895473000000000000e+07, 3.690750500000000000e+07, 2.009804500000000000e+07, 3.022119999999999891e+02, 1.631735065225748062e+09
1.898530900000000000e+07, 3.725449800000000000e+07, 1.855383300000000000e+07, 3.022119999999999891e+02, 1.631735084345754147e+09
1.900617000000000000e+07, 3.729355600000000000e+07, 1.862303500000000000e+07, 3.022749999999999773e+02, 1.631735103625201941e+09
